angle,ldr0,ldr1,ldr2,ldr3,ldr4,ldr5
45.0,313.0,4.0,3.0,10.0,3.0,15.0
45.0,312.0,4.0,3.0,9.0,4.0,15.0
45.0,312.0,5.0,3.0,10.0,3.0,15.0
45.0,312.0,5.0,2.0,10.0,3.0,15.0
45.0,312.0,4.0,3.0,10.0,3.0,15.0
45.0,312.0,5.0,3.0,9.0,3.0,15.0
45.0,312.0,5.0,3.0,10.0,3.0,15.0
45.0,312.0,5.0,2.0,10.0,3.0,15.0
45.0,312.0,5.0,3.0,9.0,4.0,15.0
45.0,311.0,5.0,3.0,10.0,3.0,15.0
45.0,312.0,5.0,3.0,10.0,3.0,15.0
45.0,312.0,4.0,3.0,10.0,4.0,15.0
45.0,312.0,5.0,3.0,10.0,3.0,15.0
45.0,312.0,5.0,3.0,10.0,4.0,15.0
45.0,311.0,5.0,2.0,10.0,4.0,15.0
45.0,311.0,5.0,2.0,9.0,3.0,15.0
50.0,311.0,5.0,3.0,9.0,3.0,15.0
50.0,312.0,5.0,3.0,9.0,3.0,15.0
50.0,312.0,5.0,3.0,9.0,3.0,15.0
50.0,312.0,4.0,3.0,9.0,3.0,15.0
50.0,312.0,5.0,3.0,9.0,3.0,15.0
50.0,312.0,5.0,3.0,10.0,4.0,15.0
50.0,312.0,4.0,2.0,10.0,4.0,15.0
50.0,311.0,5.0,3.0,9.0,3.0,15.0
50.0,312.0,5.0,3.0,10.0,4.0,15.0
50.0,312.0,4.0,3.0,9.0,4.0,14.0
50.0,312.0,5.0,3.0,10.0,4.0,14.0
50.0,312.0,5.0,3.0,9.0,3.0,15.0
50.0,312.0,5.0,3.0,9.0,3.0,15.0
50.0,312.0,5.0,3.0,10.0,4.0,15.0
50.0,312.0,5.0,2.0,10.0,3.0,15.0
50.0,311.0,4.0,3.0,10.0,3.0,14.0
55.0,319.0,5.0,3.0,10.0,22.0,15.0
55.0,326.0,22.0,3.0,11.0,3.0,13.0
55.0,325.0,4.0,4.0,10.0,4.0,13.0
55.0,323.0,5.0,3.0,10.0,4.0,13.0
55.0,322.0,5.0,4.0,11.0,3.0,13.0
55.0,323.0,5.0,4.0,10.0,4.0,14.0
55.0,323.0,5.0,3.0,10.0,4.0,14.0
55.0,322.0,5.0,3.0,11.0,4.0,14.0
55.0,322.0,5.0,3.0,11.0,4.0,14.0
55.0,322.0,6.0,4.0,11.0,4.0,13.0
55.0,323.0,5.0,4.0,10.0,3.0,13.0
55.0,322.0,5.0,3.0,10.0,3.0,14.0
55.0,322.0,5.0,4.0,10.0,3.0,13.0
55.0,322.0,5.0,4.0,10.0,4.0,14.0
55.0,323.0,5.0,4.0,10.0,4.0,13.0
55.0,322.0,5.0,4.0,10.0,4.0,13.0
60.0,324.0,6.0,4.0,10.0,5.0,13.0
60.0,335.0,10.0,3.0,11.0,17.0,12.0
60.0,348.0,0.0,3.0,22.0,15.0,12.0
60.0,352.0,20.0,4.0,11.0,15.0,12.0
60.0,351.0,20.0,3.0,10.0,15.0,11.0
60.0,351.0,19.0,3.0,11.0,15.0,12.0
60.0,352.0,20.0,3.0,11.0,16.0,12.0
60.0,351.0,20.0,3.0,11.0,14.0,12.0
60.0,351.0,20.0,4.0,11.0,15.0,12.0
60.0,352.0,20.0,4.0,11.0,15.0,11.0
60.0,352.0,20.0,3.0,11.0,15.0,12.0
60.0,352.0,20.0,3.0,11.0,15.0,12.0
60.0,352.0,20.0,3.0,11.0,15.0,12.0
60.0,352.0,20.0,4.0,11.0,15.0,12.0
60.0,351.0,19.0,3.0,11.0,15.0,12.0
60.0,352.0,20.0,4.0,11.0,15.0,12.0
65.0,368.0,44.0,21.0,11.0,34.0,11.0
